				Draft Order
Pick       Team                   
1          San Francisco Giants   
2          San Francisco Giants   
3          Washington Nationals   
4          Toronto Blue Jays      
5          Colorado Rockies       
6          Detroit Tigers         
7          Boston Red Sox         
8          Cincinnati Reds        
9          Cincinnati Reds        
10         Miami Marlins          
11         Pittsburgh Pirates     
12         Los Angeles Angels     
13         Philadelphia Phillies  
14         Arizona Diamondbacks   
15         Seattle Mariners       
16         New York Yankees       
17         Chicago Cubs           
18         Cleveland Indians      
19         Tampa Bay Rays         
20         San Diego Padres       
21         Los Angeles Dodgers    
22         Chicago White Sox      
23         Oakland Athletics      
24         Minnesota Twins        
25         Oakland Athletics      
26         Texas Rangers          
27         Houston Astros         
28         Atlanta Braves         
29         St. Louis Cardinals    
30         Baltimore Orioles      
31         Minnesota Twins        
32         Milwaukee Brewers      
